interaction_type,event,target_text,response_text,label
Quote,Student Marches,14 mass shootings since 2017 115 deaths with assault weapons 29 without Maybe they are more lethal ,The facts don’t lie y’all 🐸☕️ ,3
Quote,Iran Deal,WOW Netanyahu’s press conference is absolutely incredible What a huge success for Israeli Intelligence to get their hands on a vast number of Irani documents ,I am guessing that Iran lying about getting rid of their nuclear program during Obamas reign doesnt surprise anyone But at least its in the open now Git em ,3
Quote,Iran Deal,Obama owes the world an apology for his Iran deal lies realDonaldTrump ,The audacity to give the Iraninas our own hard working money for something based on lies and fraud Irreconcilable ,4
Quote,Iran Deal,Fuck Netanyahu grow a pair of balls and do your own thing with your country America is not here for your Bullshit ,,4
Quote,Iran Deal,Also dont forget hes just a smoother better looking liar than Trump who is also under investigation in his country ,,6
Quote,Iran Deal,Bill Clinton raped women killed people Hillary Clinton killed people sold Russia uranium Barack Obama killed hundreds in fast and furious gave Iran billions to fund terror Donald Trump slept with a porn star maybe Trump under investigation opponents want impeachment ,I know What bullshit Im with Trump ,3
Quote,Iran Deal,"AP is now confirming the details of what I reported two days ago I said that Europeans ""offered over a dozen ways to fix the agreement to Trumps liking He rejected all of them"" He never seriously considered ""fixing"" the deal ",Just like Trump never seriously considered continuing DACA and a lot of other things Trump lies constantly You have to watch what he does ,4
Quote,Iran Deal,"AllenWest on realDonaldTrump withdrawing from the Iran deal ""Everyone in the region is watching Iran violate the nuclear agreement Theyve seen a 40 increase in their military budget decision thanks to the 150 billion that President Obama sent them"" FoxBusiness ",JUST PROVES Obama is a treasonous America hating lying individual I cannot call him a man ,6
Quote,Iran Deal,Trump has arrived at Trump National Golf Club in Sterling VA according to the pool report This is Trumps 154th day at a Trump property as president and his 112th day at a Trump golf club as president ,BEST POTUS EVER He takes no salary He is draining this vicious swamp He puts up with crap from the fake newsMSM every hour of every day And just this week he released the NK hostages Captured 5 ISIS leaders Ended Iran Deal Honestly don’t care how he spends his Saturday ,6
Quote,Iran Deal,Everyone who didn’t vote for him knew his dealmaking abilities were a lie ,,3
Quote,Santa Fe Shooting,Theres something seriously wrong with the US its called NRA blood money funneled into the pockets of corrupt GOP politicians ,,3
Quote,Santa Fe Shooting,Enough thoughts and prayers TAKE ACTION DO SOMETHING VOTE OUT NRA ENDORSED POLITICIANS PASS GUN CONTROL LAWS ,Damn fucking right No more of this bullshit People are angry at this and so am I ,4
Quote,Santa Fe Shooting,Seems every month our nation offers thoughts amp prayers to victims of yet another mass shooting Our gun safety systems are not adequately working We must do more to address this public health crisis When will our politicians take not onemo re seriously ,All of US must stop being NRAs bitch💰💰💰💰💰 Congress Start by removing NRA bogus federal tax exemption 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲 ,3
Quote,Santa Fe Shooting,Anyone else find it odd that tragedy strikes in numbers everytime some important issue will be released the next day ie this time its the IG report so the school shooting and libs appear in numbers to detract from truth in hopes that public wont notice realDonaldTrump ,There are no coincidences qa non ,3
Quote,Santa Fe Shooting,I’ll say it again If you don’t like JJ Watt something is wrong with you ,,6
Quote,Santa Fe Shooting,JJ Watt to cover funeral expenses for victims of Santa Fe High School tragedy ,This man can do no wrong So incredible ,6
Quote,Santa Fe Shooting,Every time it’s a school shooting I know they’re white Niggas don’t shoot up schools we’ll shoot up the club but school nah that’s a place for learning skipping fighting and attending every lunch Niggas would get straight A’s MF then shoot up the Onyx on Saturday 😭 ,unfortunately i see no lie 😂🤷🏽‍♀️ ,4
Quote,Santa Fe Shooting,This is Riley Garcia He SACRIFICED his own life in the Santa Fe shooting by holding and blocking a door to save 2 female classmates He is a true hero ,What a hero There is no greater love than a man or woman who lays down their life for another ,4
Quote,Santa Fe Shooting,"A ""Hero"" Science Teacher Tackled The Indiana School Shooter And Was Shot Three Times BuzzFeed News A good man without a gun takes down a bad man with a gun YEAH ",Unarmed men take down shooters in school and Waffle House So the NRA was lying Courage is more important than guns My head is exploding ,3
Quote,Santa Fe Shooting,breaking news : Highland HS in Palmdale on lockdown after active shooter reported on campus police responding ,,6
Quote,General Terms,OK so Chris Wallace just pressed Putin on election meddling and he denied it What now Now what Should he repeat the question 100 times ,Chris thinks he is so special Makes me sick Hope Putin knows he is fake news 🤦‍♀️ ,3
Quote,General Terms,"Senator Tammy Duckworth of Illinois suggests Trump is ""a Russian asset"" in her statement ",No lies detected ,4
Quote,General Terms,MGM Resorts International has filed federal lawsuits against more than 1000 las vegas shooting victims in an effort to avoid liability ,Not gonna lie this takes some balls mgm resorts ,6
Quote,General Terms,RED VELVET LIGHTSTICK CONCEPT ✌️😂레 드 벨 벳 ,Omg so it isn’t false alarm ,6
Quote,General Terms,i hope someone tells you they love you today ,too many of us go without that nurturing affection Not going to lie about that Lets stand up and do something about it ,2
Quote,General Terms,The Raiders new stadium looks sick as fuck ,I’m not gonna lie I’m def gonna hit it up when it opens up All NINERS geared out though 🙏🏼 ,3
Quote,General Terms,6 hours later and jaime is still crying over mamma mia ,i wish she was lying ,4
Quote,General Terms,Stunning new construction home in Highland Park TX 😎 ,If I’m not mistaken I pass by the place everyone I go to Bubba’s off of Hillcrest and always wanted to know how it looked insideYOU’RE CLUTCH bro ✊🏽 ,3
Quote,General Terms,These Midterms could be the last election of our lifetime VOTE ,Hell just VOTE There is no downside VOTE ,4
Quote,General Terms,WOMEN ARE BIG TRASH ,You didn’t lie ,4
Quote,General Terms,thinking and speaking poorly to yourselfof yourself to others online as well only further manifests the negative qualities of your life you’re complaining about quality thought quality speech quality spells ,This is so true I still self deprecate bc it’s a reflex at this point but she isn’t wrong ,4
Quote,General Terms,Buying coffee is the least interesting thing you can do with Bitcoin ,Ohhh yes indeed In Mexico you can buy lands You can buy houses and you can travel But the best one is that you can buy comics and mezcal I’m not lying 🧐 btc in mexico en port ada ,4
Quote,General Terms,Once i get use to not talking to you it’s a wrap ,Me 100 once I go there is no going back ,4
Quote,General Terms,Drake is unstoppable ,Number don’t lie ,3
Quote,General Terms,LeeStobbs06 splits the relegation scrappers from the topofthetable contenders ,There is no denying it there are some horrific sponsor logos this season ,6
Quote,General Terms,"de plat forming uses Goebbels propaganda tactics to defame amp smear people wugly labels like ""racist antisemitic amp crazy"" Lies are spun amp repeated on every single media platform over amp over again What was Roseannes crime She spoke out against the architect of the Iran Deal ",,3
Reply,Student Marches,,,1
Reply,Student Marches,Look God bless these young Americans today for passionately exercising their 1st Amendment rights But theyre wrong about guns And I will debate them with everything I have to passionately defend my 2nd Amendment rights ,WalshFreedom Joe I hope you’re not a 2nd amendment absolutist You are trying to set up a false choice between gun control and the 2nd amendment We can have reasonable gun control that reduces deaths by thousands in this country but any “slippery slope” argument has to fail ,6
Reply,Student Marches,march for our lives So it’s not just the 2nd Amendment you want to destroy emma gonzalez ,,1
Reply,Student Marches,A must watch KyleKashuv is one of the few Parkland students who is out there fighting to maintain the Second Amendment yet a lot of our media is ignoring his voice defend the second 2 a nra ,NRA KyleKashuv And how much did you pay him for him to spout that bullshit ,2
Reply,Student Marches,LeighStewy we know its fake so ,,1
Reply,Student Marches,The raised arm the fist the tactics being used in this “March For Our Guns” rally seem so familiar to me history of communism # 2 a s h a l l n o t b e i n f r i n g e d mol on labe dont tread on me ,,1
Reply,Student Marches,realDonaldTrump You would know you create fake news at a volume never seen in history by a fake president sad loser of the popular vote march for our lives had crowds 10x your here comes the youth to squash your tiny afraid cowardly agenda ,,1
Reply,Student Marches,NRA When you have to make up lies to defend your position then youve already lost ,,1
Reply,Student Marches,FeistyFL THIS IS BULLSHIT FUCKING EDUCATE YOURSELVES ,,1
Reply,Student Marches,RT if you’re sick and tired of Democrats’ unreasonable and politically motivated obstructionism ,GOP No We are sick and tired of GOP Lies and unreasonable demands that only 32 or less of Americans think are good DACAGOOD WallBAD Gun ControlGOOD ,1
Reply,Student Marches,At 430 into this clip David Hogg reveals that he was NOT at Stoneman Douglas school when the shooting took place… ,IvoryDove Youre a lying pervert who is attacking a teenager because you cant understand the concept of people moving between locations in a single day He returned to the school in the evening you deplorable fraud ,1
Reply,Student Marches,The new face of the Democratic Party sad ,TheTrumpTrain lightonterra The image is fake This doesn’t change the fact that Emma and the movement have been high jacked by the ultra left loons The movement should focus on sensible background check improvements and sensible common sense gun access control Not banning guns ,1
Reply,Student Marches,"Notice the ""torn line"" in both images it is clear the ""torn"" line in the constitution has jagged edges as you would get from tearing any paper document and the target has completely straight edges only a computer would giveWe know the ""fake"" ",fugginflorida or you could track down the original source before you go spreading hateful bullshit but go off here’s the link to the original reliable source which shows her ripping a target ,1
Reply,Student Marches,shannonrwatts NRA Delete your account You know youre lyingbut dont care Youre narrative must not be interrupted by facts ,,1
Reply,Student Marches,shannonrwatts NRA Wrong fake news : ,,1
Reply,Student Marches,"""I am glad that progressives are being honest about what they want to do they want to repeal 2 a and they want to ban all semiautomatic firearms really ultimately all firearms if they had their way I just wish they could be as open about it as Justice Stevens” DLoesch ",NRATV DLoesch What part of “well regulated militia” did you miss in the 2nd Amendment Nobody lies more than the NRA and the gun nuts ,1
Reply,Student Marches,realDonaldTrump Lie away retired justice is a REPUBLICAN No Democrat has said they want to do away with the Second Amendment Liar Liar Liar Liar ,,1
Reply,Student Marches,realDonaldTrump Bitch stop fucking lying nobody wants to repeal the second amendment but you motherfuckers keep fucking with the voting rights act and civil rights Fuck you Donald Trump ,,1
Reply,Student Marches,NRA Anything that the NRA states needs to be validated Trump lying syndrome ,,2
Reply,Student Marches,AnnualMeetings NRA The NRA only wants the whright people to have guns ,,6
Reply,Student Marches,Survey 89 at March For Our Lives voted for Hillary fewer than half were there because of gun control ,allahpundit KyleKashuv Come on this is clearly fake news At the Denver march not one single person I talked to speech or sign didn’t directly relate to gun control That’s a primary source account ,1
Reply,Student Marches,NRA You are lying Again ,,1
Reply,Student Marches,,,2
Reply,Student Marches,,,1
Reply,Student Marches,MSNBC host claims he secretly counts as an NRA member not so says the NRA ,,1
Reply,Student Marches,JOBS JOBS JOBS Unemployment claims have fallen to a 45year low Together we are making the economy great again ,realDonaldTrump So much noise over false flags ,6
Reply,Student Marches,NRA You guys make this up topush your twisted agenda FAKE NEWS ,,1
Reply,Student Marches,"dbongino calls out David Shulkin ""We got the best among us We got these guys losing life and limb overseas some of them coming back damaged and you wanna stickem on a waiting list How bout you get on that waiting list too"" ",NRATV dbongino NRA MEMBERS Lets Show That little Snot Nosed Lying Tyrant Who Thinks He Can Slander marcorubio DLoesch and 2nd Amendment Adherents thru NRA SLANDERSET YOUR DVR For His Latest TARGET IngrahamAngle Fox News Channel 10 PM Repeat 2 AM ETSTAND TOGETHER Now ,6
Reply,Student Marches,Policy decisions need to be made based on logic not emotions defend the second 2 a nra ,NRA The claim school deaths has come down 75 since the 1990s Lie Do they not do their research its gone up by 75 1970’s 37 1980’s 49 1990’s 88 2000’s 107 2010’s to date 162 ,6
Reply,Student Marches,Democrats hate our President more than they love our country ,GOPChairwoman Republicans worship their crooked fake orange President more than they love our country ,6
Reply,Student Marches,,,1
Reply,Student Marches,DemWrite hiral4congress A Pattern across America FAKE NEWS appearing real DONT believe it or your life is ensnared and programmed to be dammed by these lies ,,1
Reply,Student Marches,“I disavow and disapprove the Democrats for refusing to condemn or distance themselves from Louis Farrakhan he continues to publicly spew his hate filled rhetoric against Israel all Jews Christians Gays Women and America”pastormarkburns israel ,SiddonsDan3 VFL2013 pastormarkburns False teachers will push their denominational templates creeds and doctrine… ,2
Reply,Student Marches,Wow my mentions are now a sewer of NRA trolls and MAGA bots Happy Easter andor Passover everybody ,joanwalsh So you say we are bots because we are maga or NRA not quite lady we are real and stand up to gun grabbing fake news like you ,1
Reply,Student Marches,lauraingle If you’re looking for a few projects during your “week” off I suggest 1 Sensitivity lessons 2 Updating your LinkedIn profile 3 Learning to STFU 4 Learning how to apologize sincerely and in a timely manner resist blue wave 2 0 1 8 davidhogg111 parkland ,jasonbaum lauraingle davidhogg111 Maybe you should delete this incorrect tweet and resend to the correct person ,6
Reply,Student Marches,How much is another human beings life worth to you RoyBlunt realDonaldTrump NRA This is a moral issue vote them out ,MoveOn RoyBlunt realDonaldTrump NRA Fake News arrest George Soros now ,1
Reply,Student Marches,With Congress gridlocked Trumps governing just like Obama ,business Bullshit You seriously compare this illiterate racist birther wanna be dictator with the highly brilliant decent intelligent President Obama I hate yall for this ,1
Reply,Student Marches,hardball esglaude 45is nothing more than the Racist in Chief playing to a base whipped into a frenzy by his false promises 🎙🎙 ,,3
Reply,Student Marches,iheartmindy They dontthey report the facts Not like FOX Sinclair or the WH press office who lie as a matter of routine ,,1
Reply,Student Marches,Kanye West and Travis Scotts careers are now reportedly being influenced by Kris Jenner ,XXL What kind of dumb bs is this 😂 ,6
Reply,Student Marches,44 House Democrats employed the Pakistaniborn Imran Awan and his family in a position where they could read all the emails and files of one in five Democratic members of congress No background checks were ever done either explains lukerosiak ,PoliticalShort michellemalkin lukerosiak Fake news from the propaganda network ,1
Reply,Student Marches,Thank you to all the national and local media outlets who reacted swiftly to my request to correct their gender pay gap reports about NWN Media All except guardian that is who despite several requests have failed to do so ,TobyGranville guardian Shame your ‘journalists’ on the Herald weren’t as quick to correct the BS they write about the SNP or Scottish Independence Toby ,3
Reply,Student Marches,HeerJeet It doesn’t make that case at all It makes the ridiculously false case that “everyone“ got it wrong What’s telling is that you’re just now questioning a narrative that was within days of the shooting obviously problematic ,,1
Reply,Student Marches,Make sure to block mute or unfollow everyone who pops into your time line with political views perspectives and analysis that diverges from your own Its important to design an intellectual world that vindicates and affirms but never challenges your own beliefs ,ggreenwald I would normally agree with you but some people are just wrong ,1
Reply,Student Marches,HUGE NEWS Amazon has filed suit against a UK selfpublisher in Washington federal court seeking to confirm an arbitration award against him for using clickfarms and bots AND BOOK STUFFING This is behind a paywall but I have more info ,DavidGaughran Let these scumbag scammy fakeauthor bastards burn in hell for screwing THOUSANDS of HARD WORKING legitimate authors out of their fair share of the KU pie amazon self publishing ,3
Reply,Student Marches,FoxNews newtgingrich No ones buying you bs anymore Newt Go back to whatever hole you crawled out of ,,1
Reply,Student Marches,newtgingrich “Inch by inch trump is actually organizing exactly like Andrew Jackson a majority that I think will get him reelected and that will actually be decisive in changing America’s future” hanni ty ,FoxNews newtgingrich Wow thats coming from a fellow wife cheater who has been wrong so many times who could possibly believe anything his addled mind can spew ,2
Reply,Student Marches,Mario Batali kills more than five animals per recipe according to the animal kill index ,nationalpost fake news ,1
Reply,Student Marches,How stupid are people If the Deep State wants a war they just frame their opponent Whoever they want to attack they frame that country they frame that individual then they run to the media that they control and say we must stop them ,HouseCracka The LIES continue When will it ever change wakeup This video viewed over 5MILLION times amp Utube recently censored put up warning deleted all comments ampforbade sharing Had to type link in by hand ,3
Reply,Student Marches,North Korea will discuss denuclearization US official says ,guardian Fake news To satisfy trumps ego ,1
Reply,Student Marches,"Independent of ones views of the Kevin Williamson affair and regardless of whatever emotions the name ""Ross Douthat"" may trigger in you is this a valid andor important challengeproblem to consider in general ",ggreenwald No its not Its irrelevant bullshit ,6
Reply,Student Marches,breaking : Joint Chiefs of Staff prepares possible Syrian attack options and target lists to present to Trump within hours military officials say ,i24NEWSEN Another falseflag attack another lie another media not questioning official lies All for the Greater IsraHell ,1
Reply,Student Marches,If realDonaldTrump fires Mueller now Congress would move to impeach If he does nothing n Dems win back HouseSe… ,mflynnJR Katmcbeez realDonaldTrump If they think this is checkmate they are sadly mistaken ,2
Reply,Student Marches,After Douma the west’s response to Syria’s regime must be military Simon Tisdall ,guardian Cernovich The Guardian UK version of Washington Post Same propaganda bullshit ,1
Reply,Student Marches,Search warrant in Cohen raid sought info on taxi medallions ,kaitlancollins This is such BS Really this is what they are worried about Hillary deleted 33000 emails and they care about some floozy and 10 years ago This is scary stuff for America ,1
Reply,Student Marches,John Ivison Failure to push through Trans Mountain could be the end for Trudeau Funny Ivison sees a pipeline as in the national interest and so unstoppable but a carbon tax is totally blockable the provinces via nationalpost ,mrsinisterlefty theslimdude nationalpost Why does anyone ever repeat the bullshit from these so called political analysts ,1
Reply,Student Marches,Analysis The DOJ chain of command including at least 2 Trump appointees a federal judge saw probable cause to green light coordinated FBI raids on the home office amp hotel room of POTUS longtime personal lawyer amp confidant Thats a big deal ,guypbenson Also forgive us for being suspicious after we just saw the FBI used a totally bogus dossier to justify multiple FISA warrants against Trump 🙄 ,2
Reply,Student Marches,guypbenson benshapiro foxnewsradio FoxNews Great 2 hours of lies ,,1
Reply,Student Marches,"BREAKING Trump calls the Michael Cohen raid ""a disgrace its an attack on our country"" WATCH ",hardball Bullshit ,1
Reply,Student Marches,Some premises 1 Trump is controlled by Putin amp is loyal to the Kremlin 2 Trump is preparing to bomb Syria 3 Anyone who opposes Trumps plans to bomb Syria is serving Russia These premises collapse unto themselves with the most minimal scrutiny ,ggreenwald Hawks be hawks as a former Marine I say BS to the whole system When you spend as much as we do on our military hammer EVERY problem looks like a nail ,3
Reply,Iran Deal,ZERO SURPRISE 😡 📍BUSTED 600 Million Terrorist Money Trail Leads Straight Back to 0bama ,SurfPHX The article is wrong about the money 400m was Iran’s money we froze in 1979 And they did hold it back till the hostage deal was done but not ransom 13b was interest for 37 years We agreed to the deal in international IranUS financial settlement tribunal ,1
Reply,Iran Deal,Even Fat Gandalf wouldn’t be able to turn down these amazing t mobile tuesdays goodies ,JohnLegere are a BIGGGGGG IPOCRATE IPOCRATE IPOCRATE LIES DEMOCRATS RATSTRAITOR TRAITORBENGASI150 BILLIONS CACH TO IRAN FOR NUCLEAR 20 TN URANION SOLD TO RUSSIA WEAR IS THE MONEY CORRUPTED government Clintons obama MAFIA FBI CORRUPTED AMERICAN FIRST🇺🇸 ,6
Reply,Iran Deal,A New Deal With Iran Will Fail And Pave The Way For War Between Iran And Israel ,chuckwoolery Wrong Iran’s regime is on the verge of collapse Their people are demonstrating against the mullahs and their currency is in full hyper inflation They’re in no position to start a war with anyone Also economic pressure on Russia is driving a wedge between them amp Iran ,1
Reply,Iran Deal,Why open and contribute to an IRA Taxdeferred growth potential for starters Learn more ,Fidelity are Big LIE irietsinic are not are snaketold me aboutBengasi 20 ton uranium SOLD to Rusia Wear is the moneyamp150 billions free to IRAN for thei nuclear wopenyou friends Clintons amp obama MAFIA 🇺🇸 ,1
Reply,Iran Deal,BREAKING Palestinians have attempted to infiltrate Israeli territory from Gaza three times in the course of a single hour two of the infiltrators attacked Israeli forces with explosive devices another two were found to be carrying weapons three were shot and three arrested ,AviMayer —gtClaim That Iran Is Complying With JCPOA Deal Is A Lie ,6
Reply,Iran Deal,AriFleischer netanyahu Says the guy that worked for the administration that invaded the wrong country netanyahu is as CORRUPT as realDonaldTrump Look over here Don’t look at my corruption israel iran I call BS ,,1
Reply,Iran Deal,JSchanzer Maybe trump shouldnt have had sex with a porn star then lie about it ,,5
Reply,Iran Deal,RobMalley Let me get this straight Obama knew they were lying and used those lies to sell the Iran Deal right out of the ObamaCare play book ,,2
Reply,Iran Deal,Can you believe I actually stepped away today and went to a little neighbor party and became human for a few hours Feels like its been years since I did that Was nice What did I miss Catch me up please and thank you ,yigsstarhouse 1Iran has been lying about their nukemaking 2Iran is now saying they are pulling out of the deal 3Pence’s doc started the rumors about Ronny Jackson More but that’s the top I think Normal news day ,6
Reply,Iran Deal,hardball mitchellreports I listened but still dont understand what the lie is Isreal lied that there are nukes in Iran Iran lied that they have none US intelligence lied but about what the 6country nuclear inspectors lied and they really knew Iran has nukes Please be clear Youre journalists ,,5
Reply,Iran Deal,Netanyahu to address country with dramatic news about Iran Monday night breaking israel news net anyah u benjamin net anyah u breaking news ,,6
Reply,Iran Deal,OsmanMarwa1 Wow an actual antiSemite Ok so Israel is the good guys Iranbad guys Just my humble opinion Prove me wrong ,,1
Reply,Iran Deal,JohnKerry Your timeline seems wrong Netanyahu presented evidence Iran is STILL running a covert nuclear program AFTER you and Obama bribed them with tax payer money to stop just saying ,,1
Reply,Iran Deal,Israeli Prime Minister Benjamin Netanyahu defends his Iran nuclear accusations ,CNNPolitics Netayjahu is a liar 😘Greetings from Germany These are the official iaeaorg reports link ,1
Reply,Iran Deal,brhodes Liar Iran was never going to give up their nuclear ambitions They lied Now you’re lying to cover up your ineptitude You know it You knew it before The public knows it now ,,1
Reply,Iran Deal,Lets review Trump ran promising to improve relations w Russiavoters agreed But permanent DC hated the idea They’ve been pushing war w Iran for yrs Closer ties w Russia would make an Iran war more complicated Russia needed to be our enemy no matter what voters wanted ,TuckerCarlson Omg what a liar Show me the campaign rally where Trump energized the crowd with promises of better ties to Russia 😂 He didn’t even have a coherent foreign policy He ran on “Wall” and “Hillary corrupt” But yeah it’s all about Iran nowsure buddy ,1
Reply,Iran Deal,Dear Trump evangelicals It looks like Trump has now been caught lying to you about paying off a porn star to silence reports about an affair shortly after his son was born He had an affair He paid hush money He lied about it Let that sink in Is that your man ,DavidAFrench Sweetpea593 We didnt vote for a Saint Hillary is a lecherous pathological lying power hungry pay for play parasite Obama lied about everything Obamacare Iran Deal Benghazi IRS targeting conservatives FBI deep state spying on Americans and Trump Whats your point ,3
Reply,Iran Deal,One of the reasons I was proud to work for john kerry in 2004 is that Id grown up in a war and I respected the fact that he VOLUNTEERED to serve his country risking his life in the process Rightwingers mock him a decorated vet then claim to support the troops Hypocrisy ,peterdaou Bullshit He assured the enemy and denied his brothers in arms Hes selling is down the river to Iran right now ,1
Reply,Iran Deal,Macron warns of risk of war if Trump withdraws from Iran deal ,Reuters UsFrance And others should never ever have signed this agreement So wrong If war then it is Iran’s fault and ongoing goal ,6
Reply,Iran Deal,Dinesh D’souza a popular conservative commentator exceeded the campaign finance laws on accident and he had to spend five years on probation eight months in a halfway house and paid a 30000 fine Via politixlive ,DanielKnightPL politixlive CONSERVATIVES FORGET TO TIE A SHOE ITS PRISON CRIMINAL POLITICAL DEMOCRATS CAN LIE CHEAT POOR HAITI GIVE BILLIONS TAX MONEY TO IRAN ATTEMPT TO SABOTAGE ISRAELI ELECTIONS LIE ABOUT TRUMPS TIES TO RUSSIAKERRY PLAYS SEC OF STATE WHO CARES ,6
Reply,Iran Deal,DLoesch Not true I have zero respect for North because of his role in Iran Contra The last person I would want running the NRA would be Paul Krugman because he is a highly respected Nobel prize winning economist ,,1
Reply,Iran Deal,JaclynCorin cameronkasky NRA Also your wrong Oliver North was not convicted of any crimes during the IranContra Scandal under Reagan OliverNorthFNC Would you sir care to set the record straight for these kids here ,,1
Reply,Iran Deal,realDonaldTrump I CALL BS Trump VIOLATES the Iran nuclear deal and breaks with our allies Trump wants to impose sanctions on Iran while remaining incredibly weak on Russia where he doesnt impose sanctions amp lifts sanctions despite Russia interfering in the election amp helping Trump win ,,1
Reply,Iran Deal,"realDonaldTrump If the Iran deal is so defective why did you have to lie about it today dimwit donald , try being truthful with the American people ",,2
Reply,Iran Deal,realDonaldTrump 1 With all do respect Mr president you are a disgusting liar in almost everythingtali ban and al qa ede made and backes by saudis in 1980s whith US fully support the 15 attackers of 911 were Saudis none of them was form iran but you kept your mouth shut about that because ,,1
Reply,Iran Deal,realDonaldTrump You are totally wrong Iran was in compliance ,,1
Reply,Iran Deal,mickbk And that lie led to the Iraq war And Were there any consequences to this liar NO And know its kind of a dejavus We all should fear the worst For Iran for the middle eastern region and for europe ,,4
Reply,Iran Deal,AmbassadorRice Lying seditious globalist Obama’s “deal” was anything but Your policies propped up a dying regime and costs the lives of many innocent people Meanwhile without USA’s ability to verify Iran continued with its nuclear weapons program Plus you lied about Benghazi amp more ,,1
Reply,Iran Deal,AmbassadorRice UM NO You’re wrong Iran deal only gave Iran what they wanted 2 fund terrorists guns No infrastructure 4 ppl no help 4 jobs Iran played U ,,1
Reply,Iran Deal,I just spent some time googleing googling Lt Col Oliver North new head of the NRA turns out he was arrested and charged with illegally selling guns to Iran He also lied to Congress about it Nice ,armiehammer FALSE NEWS He was convicted in the Iran–Contra affair of the late 1980s but his convictions were vacated and reversed and all charges against him dismissed in 1991 QUIT SPREADING RUMORS ,1
Reply,Iran Deal,tparsi Whatever you said the same about NK You need to learn that Iran hates us and will lie cheat and steal to kill Americans ,,2
Reply,Iran Deal,Fun Fact Iran hates America and our way of life They should never be able to get nuclear capabilities The iran deal was an awful deal that put our security at risk Thank you realDonaldTrump for withdrawing from the horrendous deal Promises made promises kept ,,6
Reply,Iran Deal,Obama gave Iran 150 billion in cash WHILE they were and still are the 1 designated state sponsor of terrorism and frequently chanted DEATH TO AMERICA LET THAT SINK IN ,,1
Reply,Iran Deal,What does Trump not like about the Iran Deal only that it was done by Obama Every deal has an end date you simply renegotiate Trump is an 8 year old child ,BraylenNapier Stop lying Its not just simply to erase Obamas history Iran are no different than Hitler they currently occupy Yemen Syria Lebanon and Iraq Theyre expanding Millions of Syrians dead Stop being like the idiots who opposed war against Hitler and bow to him for peace ,1
Reply,Iran Deal,The JCPOA had many flaws but withdrawing now does not serve our national interest Iran has already realized the benefits of sanctions relief and the release of frozen assets Now they are let off the hook when it comes to honoring their nuclear obligations under the agreement ,JeffFlake You are WRONG You are a shallow man Thank heavens youre getting out the way Iran was NOT following the agreement Youre taking up air ,1
Reply,Iran Deal,So Iran what are you going to do go to war with the USA You wouldnt even last the 3 days Iraq did with the 4th largest army in the world ,mitchellvii 2003 yellow cake lie is as solid as Trumps lie that Iran wasnt in compliance with the deal Trump and Bibi need wars because theyre both under investigation and Trump will do whats best for Putin ,6
Reply,Iran Deal,The iran nuclear deal struck under Obama essentially paved a yellow cake uranium brick road for Iran to acquire a nuclear weapon From its inception it was a flawed deal that should have never been made amp has never served the best interest of the American people or our allies ,,2
Reply,Iran Deal,After significant investigation we have discovered that Mr Trump’s atty Mr Cohen received approximately 500000 in the mos after the election from a company controlled by a Russian Oligarc with close ties to Mr Putin These monies may have reimbursed the 130k payment ,MichaelAvenatti Just a coincidence you pulled that misleading lie out of Stormys cleavage the same day your Presi… ,1
Reply,Iran Deal,KimDotcom WrongDeep State lost and shadow govt will not be allowed to manipulate Iran with a deadly nuclear bomb any longer Iran is dishonest and cannot be trusted ,,1
Reply,Iran Deal,jpodhoretz Trump made a liar out of the US if there was evidence that the Iranians were breaking the terms now they should have used that evidence persuaded others to punish Iran with them Instead apparently just to spite Obama and the establishment Trump cheapened America’s word ,,6
Reply,Iran Deal,My full statement on the iran deal Withdrawal ,JoaquinCastrotx You are sadly mistaken about the Iran deal and where this was headed was not ever to end well TheDemocrats GOP realDonaldTrump ,1
Reply,Iran Deal,"Trumps message to Iran NK amp world Its ok to sign an agreement then rip it up down the road Kim Jongun will say ""Why should I trust the US to adhere to an agreement with North Korea when you did not adhere to the agreement with Iran even though Iran was in compliance"" ",TulsiGabbard I respect you but you are wrong on this I’m a noninterventionist and entirely against war with Iran But I support the withdraw from this unconstitutional agreement by President Obama Congress has authority to make peace and trade deals ,1
Reply,Iran Deal,DennisDMZ Why in the hell do we care about credibility with Iran What is wrong with you ,,2
Reply,Iran Deal,TVietor08 brhodes Cool story bro You clowns are wrong about everything 😂😂😂 ,,1
Reply,Iran Deal,We Thought You Were Anti trump But This Is A Great Endorsement Despite Relentless Opposition amp 247 trump Hate On YOUR fake news Network president trump Has Done More In One Year Than Most Presidents Do In 4 Years thats my president keep america great ,DrMartyFox kwilli1046 THERE WAS NO IRAN DEAL FAKE NEWS WAS DUPED BY OBAMA ,6
Reply,Iran Deal,The Iran deal is complicated as are the potential consequences of Trumps decision to pull out of it Heres what you need to know ,CNN Iran is in wrong way ,6
Reply,Iran Deal,If the price of gas continues to rise President Trump risks diluting any gains from his tax cuts for middle America — which could prompt some voters to reassess the personal impact of the presidents policies ,NBCNews Fake news not that much comes from Iran this is biased anti Trump news plain and simple ,1
Reply,Iran Deal,haaretzcom All real reporting is saying its Syria Not Iran Who is a liar but he that denieth that Jesus is the Christ ,,2
